revision,unique_types,entropy
3339,2,0.256
3340,5,0.501
3349,12,0.659
3351,8,0.665
3360,4,0.343
3363,9,0.744
3368,3,0.373
3376,1,0.0
3381,1,0.0
3383,3,0.152
3390,0,0.0
3393,0,0.0
3400,2,0.235
3407,3,0.406
3409,8,0.719
3410,8,0.609
3412,0,0.0
3416,2,0.235
3417,3,0.384
3419,2,0.256
3421,2,0.256
3422,3,0.39
3424,2,0.256
3425,1,0.0
3436,6,0.535
3437,8,0.462
3438,2,0.256
3439,5,0.579
3440,4,0.472
3441,2,0.256
3444,2,0.235
3451,2,0.235
3453,2,0.235
3457,3,0.135
3464,8,0.541
3465,1,0.0
3466,5,0.367
3468,1,0.0
3469,2,0.256
3477,5,0.518
3491,1,0.0
3508,2,0.256
3510,4,0.491
3513,1,0.0
3516,5,0.578
3517,3,0.406
3519,4,0.459
3526,3,0.384
3531,3,0.313
3534,3,0.367
3537,1,0.0
3538,3,0.356
3540,6,0.386
3544,2,0.256
3545,2,0.139
3554,1,0.0
3556,6,0.445
3557,3,0.406
3558,3,0.157
3559,2,0.256
3560,6,0.589
3565,4,0.426
3571,1,0.0
3573,5,0.552
3574,4,0.491
3579,1,0.0
3582,8,0.68
3589,2,0.256
3594,4,0.482
3596,5,0.563
3597,1,0.0
3598,4,0.488
3599,2,0.256
3600,1,0.0
3603,2,0.235
3604,2,0.062
3605,5,0.589
3608,3,0.384
3609,6,0.641
3612,1,0.0
3614,2,0.235
3616,2,0.044
3640,4,0.512
3642,2,0.256
3644,2,0.208
3645,8,0.549
3648,6,0.542
3651,0,0.0
3653,1,0.0
3660,3,0.328
3663,1,0.0
3666,2,0.235
3667,1,0.0
3669,2,0.208
3675,5,0.532
3676,1,0.0
3696,3,0.176
3706,3,0.028
3707,2,0.256
3715,2,0.112
3718,4,0.456
3721,2,0.208
3722,2,0.151
3723,1,0.0
3724,2,0.172
3725,3,0.406
3727,4,0.473
3734,1,0.0
3735,3,0.367
3744,1,0.0
3746,3,0.313
3748,2,0.235
3749,4,0.491
3750,7,0.465
3752,5,0.491
3768,1,0.0
3770,1,0.0
3771,0,0.0
3776,2,0.256
3778,1,0.0
3779,5,0.43
3786,2,0.235
3787,9,0.685
3793,8,0.725
3794,2,0.256
3799,1,0.0
3804,7,0.697
3809,5,0.54
3813,8,0.683
3818,9,0.402
3824,5,0.484
3826,1,0.0
3832,5,0.495
3836,0,0.0
3847,12,0.631
3849,3,0.151
3860,1,0.0
3861,3,0.32
3862,2,0.235
3866,3,0.392
3868,11,0.593
3869,13,0.615
3870,1,0.0
3871,1,0.0
3872,3,0.406
3879,1,0.0
3880,2,0.256
3881,3,0.406
3883,6,0.538
3889,12,0.689
3892,4,0.459
3893,1,0.0
3894,1,0.0
3896,2,0.159
3897,10,0.517
3900,4,0.488
3901,1,0.0
3908,4,0.469
3910,8,0.743
3912,2,0.249
3915,7,0.569
3916,1,0.0
3921,3,0.406
3924,1,0.0
3927,2,0.256
3934,4,0.492
3940,7,0.619
3941,2,0.256
3942,8,0.688
3945,2,0.256
3947,8,0.7
3950,4,0.457
3958,3,0.146
3959,7,0.634
3961,5,0.576
3964,4,0.472
3974,1,0.0
3982,1,0.0
3985,2,0.208
3987,4,0.449
3991,5,0.522
3994,1,0.0
3995,2,0.256
4001,7,0.666
4003,7,0.625
4004,4,0.492
4006,10,0.461
4009,5,0.396
4010,6,0.656
4013,7,0.576
4014,3,0.371
4022,5,0.518
4024,7,0.666
4029,10,0.527
4030,1,0.0
4032,7,0.652
4036,8,0.68
4037,9,0.643
4039,4,0.484
4040,10,0.749
4042,10,0.716
4047,3,0.384
4048,1,0.0
4049,7,0.635
4054,9,0.673
4057,10,0.832
4063,4,0.449
4064,9,0.681
4076,6,0.409
4087,4,0.457
4096,2,0.256
4097,3,0.351
4099,4,0.488
4104,9,0.697
4106,6,0.542
4108,1,0.0
4115,1,0.0
4127,11,0.512
4129,4,0.352
4133,11,0.628
4139,0,0.0
4142,1,0.0
4159,7,0.447
4162,1,0.0
4163,2,0.249
4164,5,0.418
4166,7,0.398
4170,1,0.0
4174,1,0.0
4175,2,0.235
4178,3,0.384
4179,9,0.586
4182,2,0.256
4186,1,0.0
4187,2,0.256
4189,4,0.499
4191,2,0.256
4192,1,0.0
4194,5,0.527
4195,1,0.0
4199,1,0.0
4200,1,0.0
4204,1,0.0
4205,5,0.521
4206,2,0.235
4208,0,0.0
4209,5,0.472
4210,3,0.39
4213,4,0.456
4214,3,0.39
4215,0,0.0
4224,2,0.256
4230,6,0.641
4232,2,0.235
4234,8,0.518
4240,1,0.0
4251,2,0.235
4252,1,0.0
4257,2,0.235
4260,1,0.0
4261,8,0.729
4265,3,0.384
4267,1,0.0
4270,5,0.484
4274,4,0.484
4275,3,0.294
