file,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
871,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0
874,2,0,7,0,2,3,3,2,0,0,0,7,0,0,0,3
875,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
878,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0
879,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
880,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
884,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
885,0,3,7,0,0,1,4,2,0,0,1,3,0,0,0,0
896,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0
901,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0
909,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
913,0,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0
915,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
922,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
924,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
929,0,3,4,0,0,0,1,4,0,0,0,0,0,0,0,0
930,3,4,26,1,2,6,12,6,0,0,0,10,0,0,0,4
934,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1
935,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
942,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1
945,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
951,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,2
954,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
963,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1
965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,9,30,133,0,0,4,37,6,0,0,0,1,0,0,0,7
976,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1
977,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
980,9,37,137,0,0,4,41,6,0,0,0,1,0,0,0,6
987,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
988,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
992,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1
993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
999,1,11,41,0,0,0,0,6,0,0,0,5,0,0,0,2
1002,3,4,4,0,0,0,0,5,0,0,0,4,0,0,0,0
1020,0,0,0,0,0,5,0,0,1,0,2,0,0,0,0,0
1023,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1
1027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1028,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0
1030,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,3
1031,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,3
1043,0,4,13,0,0,3,4,0,0,0,0,2,0,0,0,2
1061,0,1,4,0,0,9,0,1,0,0,0,3,0,0,0,2
