revision,call,comment,refactoring,init,type,preprocessor,parameter,flow_control_stmt,access,cpp_feature,data_type,declaration,constructor,destructor,class,function
856,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0
857,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
858,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
861,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
863,0,1,0,0,0,0,0,7,0,0,0,2,0,0,0,0
864,0,18,40,0,0,1,0,3,0,0,0,1,0,0,0,0
867,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
873,0,4,4,0,0,2,0,0,0,0,0,2,0,0,0,2
876,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,4
883,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,5,9,31,0,0,0,2,0,0,0,0,1,0,0,0,1
899,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
902,0,1,38,0,0,3,0,0,0,0,5,1,0,0,0,0
916,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
917,0,3,22,0,0,0,9,1,0,0,1,0,0,0,0,0
918,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0
919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,3,3,0,0,32,3,0,6,0,0,0,11,0,0,0,2
921,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2
925,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1
926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
927,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
943,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
944,2,18,0,0,0,127,0,0,1,0,0,7,0,0,0,3
947,0,2,0,0,0,5,0,0,0,0,1,0,0,0,0,5
948,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
953,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
956,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0
958,0,3,0,0,0,2,0,2,1,0,1,1,0,0,0,0
966,0,0,88,0,0,19,4,0,0,0,0,1,0,0,0,0
967,2,7,6,0,0,2,0,8,0,0,0,5,0,0,0,2
969,2,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0
970,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0
972,3,9,7,0,0,10,9,3,0,0,1,5,0,0,0,7
981,0,0,212,0,0,2,212,0,0,0,0,0,0,0,0,1
990,1,1,54,0,0,2,0,3,0,0,0,0,0,0,0,0
991,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
998,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,4
1000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1018,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0
1022,0,2,8,0,0,3,0,4,0,0,0,4,0,0,0,0
1025,9,32,131,0,0,4,35,6,0,0,0,1,0,0,0,7
1026,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0
1036,2,7,2,0,0,6,40,3,0,0,0,7,1,1,0,1
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,10,23,86,0,0,4,20,5,0,0,1,8,0,0,0,6
1071,0,1,4,0,0,9,0,1,0,0,0,3,0,0,0,2
1084,1,0,0,0,0,2,0,3,0,0,0,5,0,0,0,5
1087,0,4,4,0,0,0,3,2,0,0,0,0,0,0,0,0
1090,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1091,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1100,7,7,65,3,5,21,32,9,0,0,4,10,0,1,0,5
1102,3,4,0,0,0,2,5,0,0,0,0,2,0,0,0,3
1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,1,2,15,0,0,0,4,2,0,0,1,3,0,0,0,0
1105,0,6,18,0,0,3,0,2,0,0,0,0,0,0,0,4
1107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,0,3,6,0,0,0,0,0,0,0,0,3,0,0,0,0
1119,0,2,4,0,0,1,4,3,0,0,0,2,0,0,0,1
1127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,0,1,6,1,0,0,2,1,0,0,0,0,0,0,0,1
1133,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0
1151,2,0,48,0,0,0,0,2,0,0,0,0,0,0,0,0
1152,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1155,4,4,32,0,0,14,12,8,0,0,0,5,1,2,2,2
1157,1,3,3,0,0,1,0,2,0,0,0,4,0,0,0,0
1158,2,17,82,0,0,4,88,7,0,0,2,2,0,0,0,0
1160,0,1,25,0,0,3,0,2,0,0,0,5,0,0,0,1
1161,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,0,1,3,0,0,2,0,11,0,0,0,0,0,0,0,0
1209,0,3,4,0,0,0,0,8,0,0,0,2,0,0,0,0
1227,2,4,30,0,0,3,0,14,0,0,0,0,0,0,0,1
1228,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1243,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1247,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1249,1,2,12,2,0,2,2,6,0,0,0,7,0,0,0,1
1250,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0
1253,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0
1254,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1275,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1280,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1289,2,1,62,0,0,0,4,2,0,0,0,0,0,0,0,0
1292,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
1294,4,0,28,0,0,5,0,0,0,0,0,0,0,0,0,2
1295,7,6,49,2,1,21,34,8,0,0,4,8,0,1,0,7
1297,0,21,106,1,0,2,3,7,0,0,0,7,0,0,0,1
1300,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,3
1302,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1306,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0
1312,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1313,0,0,12,0,0,0,3,2,0,0,0,0,0,0,0,0
1316,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
